Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,267,246,92.13483146067416,21,7.865168539325842,212,79.40074906367042,141,0
max-depth,35,35,100.0,0,0.0,32,91.42857142857143,12,2
complexity,618,599,96.92556634304206,19,3.074433656957929,576,93.20388349514563,51,2.0
max-len,780,768,98.46153846153847,12,1.5384615384615385,675,86.53846153846155,138,10.0
max-params,758,755,99.6042216358839,3,0.395778364116095,728,96.04221635883906,20,2.0
max-nested-callbacks,202,197,97.52475247524752,5,2.4752475247524752,117,57.920792079207914,283,105
complex-switch-case,266,265,99.62406015037594,1,0.37593984962406013,233,87.59398496240601,30,2.0
this-assign,189,155,82.01058201058201,34,17.989417989417987,137,72.4867724867725,223,2
complex-chaining,387,325,83.97932816537468,62,16.020671834625322,94,24.289405684754524,318,110
no-reassign,19846,19023,95.85306862843898,823,4.14693137156102,17626,88.81386677416104,86,2.0
no-extra-bind,0,0,0,0,0,0,0,0,0
cond-assign,154,154,100.0,0,0.0,154,100.0,3,2.0
Total,23502,22522,95.83014211556463,980,4.169857884435367,20584,87.58403540124245
